Date,Start,End,Route,Hours
2025-07-20,Kakwa Lake,Fay Lake,34.6,12.4
2025-07-21,Fay Lake,Amisk Lake,22.9,13.6
2025-07-22,Amisk Lake,Warner Lake,25.2,14.4
2025-07-23,Warner Lake,Meadow on the Approach to Weaver,19.6,13.7
2025-07-24,Meadow on the Approach to Weaver,Meadow on the Approach to Paxton,22.1,12.6
2025-07-25,Meadow on the Approach to Paxton,Kinuseo Falls Campground,43.0,13.7
