Date,Start,End,Kilometers
2025-07-12,Dome Creek,Walker Creek Forest Service Road,46.6
2025-07-13,Walker Creek Forest Service Road,Bastille Creek,33.1
2025-07-19,Bastille Creek,Kakwa Lake,27.4
