Date,Start,End,Kilometers
2026-08-07,Foix,Roquefixade Memorial Monument,21.4
2026-08-08,Roquefixade Memorial Monument,Rivels Creek,19.6
2026-08-09,Rivels Creek,Ijou Pass,25.0
2026-08-10,Ijou Pass,Joux Pass,21.2
2026-08-11,Joux Pass,Long Forest,16.3
2026-08-12,Long Forest,Campcardos Valley,20.2
2026-08-13,Campcardos Valley,Portella Blanca,3.0
