Date,Start,End,Ascent,Descent,Kilometers
2024-08-14,La Fresquière,Cabane du Plan Bas,1500,700,16
2024-08-15,Cabane du Plan Bas,Cabanes du Talon,1100,1000,22
2024-08-16,Cabanes du Talon,Valley of the Moutière,1100,900,18
2024-08-17,Valley of the Moutière,Lake Behind the Cross,1500,1200,23
2024-08-18,Lake Behind the Cross,Ruins of Plate-Lombarde Fort,1000,1300,23
2024-08-19,Ruins of Plate-Lombarde Fort,Pas du Roy,600,900,18
2024-08-20,Pas du Roy,Ruins of Villaret Farm,1200,1700,26
2024-08-21,Ruins of Villaret Farm,La Fresquière,200,700,9
