Date,Start,End,Kilometers
2025-10-19,Le Puy-en-Velay,Vals-près-le-Puy,2.7
2025-10-20,Vals-près-le-Puy,Les Amargiers,24.9
2025-10-21,Les Amargiers,Brugeyrolles,24.3
2025-10-22,Brugeyrolles,La Bastilde-Puylaurent,22.6
2025-10-23,La Bastilde-Puylaurent,Saint-André-Capcèze,23.8
2025-10-24,Saint-André-Capcèze,Belle Poile,15.8
2025-10-25,Belle Poile,Le Mas Dieu,23.8
2025-10-26,Le Mas Dieu,Alès,12.2
2025-10-27,Alès,Moussac,29.8
2025-10-28,Moussac,Mas de Servas,29.5
2025-10-29,Mas de Servas,Générac,24.7
2025-10-30,Générac,Saint-Gilles,10.8
