Date,Start,End,Kilometers
2026-04-20,Fonsomme,Saint-Quentin,17.3
2026-04-21,Saint-Quentin,Dury,21.7
2026-04-22,Dury,Saint-Christ-Briost,23.7
2026-04-23,Saint-Christ-Briost,Péronne,15.9
2026-04-24,Péronne,Péronne,0.0
2026-04-25,Péronne,Camp César de Chipilly,32.1
2026-04-26,Camp César de Chipilly,Lamotte-Brebière Lock,26.0
2026-04-27,Lamotte-Brebière Lock,Camp César de Tirancourt,25.1
2026-04-28,Camp César de Tirancourt,Provisions Pond,27.7
2026-04-29,Provisions Pond,Petit-Port,27.0
2026-04-30,Petit-Port,Saint-Valery-sur-Somme,10.8
